,Term,Overlap,Adjusted P-value,Genes
323,"Interleukin-3, interleukin-5, and GM-CSF signaling",1/45,2.73e-01,IL2RB
324,Polo-like kinase 1 (PLK1) pathway,1/46,2.77e-01,TPX2
325,Agrin in postsynaptic differentiation,1/47,2.81e-01,JUN
326,Actions of nitric oxide in the heart,1/47,2.81e-01,VEGFA
327,ATM pathway,1/48,2.85e-01,JUN
328,Presenilin action in Notch and Wnt signaling,1/48,2.85e-01,JUN
329,G alpha 12 pathway,1/49,2.88e-01,JUN
330,Interleukin-5 signaling pathway,1/49,2.88e-01,JUN
331,Type II interferon signaling (interferon-gamma),1/50,2.92e-01,IFNG
332,Amyloids,1/51,2.97e-01,LTF
333,Signaling events mediated by PTP1B,1/52,3.00e-01,LEP
334,Interleukin-2 receptor beta chain in T cell activation,1/52,3.00e-01,IL2RB
335,Protein folding,1/53,3.03e-01,TUBA1A
336,GABA A and B receptor activation,1/53,3.03e-01,KCNJ2
337,Kit receptor signaling pathway,1/54,3.07e-01,SNAI1
338,TAp63 pathway,1/55,3.11e-01,PMAIP1
339,Thromboxane A2 receptor signaling,1/56,3.15e-01,VCAM1
340,Signal transduction,7/1020,3.16e-01,DUSP4; JUN; CXCL8; CCL4; CCL3; EREG; HBEGF
341,Pre-NOTCH expression and processing,1/57,3.16e-01,JUN
342,Inositol phosphate metabolism,1/57,3.16e-01,IMPA2
343,Keratinocyte differentiation,1/57,3.16e-01,JUN
344,Leptin signaling pathway,1/61,3.34e-01,LEP
345,Shigellosis,1/62,3.36e-01,CXCL8
346,Signaling events mediated by focal adhesion kinase,1/62,3.36e-01,JUN
347,Colorectal cancer,1/62,3.36e-01,JUN
348,Interferon alpha/beta signaling,1/64,3.39e-01,EGR1
349,Endothelins,1/64,3.39e-01,JUN
350,MAPK cascade role in angiogenesis,1/64,3.39e-01,VEGFA
351,Angiotensin II-stimulated signaling through G-proteins and beta-arrestin,1/64,3.39e-01,EGR1
352,Proteasome degradation,1/63,3.39e-01,IFNG
353,Validated nuclear estrogen receptor alpha network,1/64,3.39e-01,JUN
354,ERK1/ERK2 MAPK pathway,1/65,3.43e-01,DUSP4
355,Retinoblastoma protein regulation,1/66,3.44e-01,JUN
356,Semaphorin interactions,1/66,3.44e-01,RHOB
357,Signaling by TGF-beta receptor complex,1/66,3.44e-01,SERPINE1
358,Thyroid-stimulating hormone signaling pathway,1/66,3.44e-01,JUN
359,Adipocytokine signaling pathway,1/67,3.46e-01,LEP
360,SIDS susceptibility pathways,1/67,3.46e-01,CXCL8
361,AMPK signaling,1/68,3.49e-01,LEP
362,Mitochondrial pathway of apoptosis: multidomain Bcl-2 family,1/71,3.51e-01,HSPA1B
363,Interleukin-6 signaling pathway,1/71,3.51e-01,JUN
364,Viral myocarditis,1/71,3.51e-01,PRF1
365,Rac1 cell motility signaling pathway,1/71,3.51e-01,JUN
366,RIG-I-like receptor signaling pathway,1/71,3.51e-01,CXCL8
367,CDC42 signaling events,1/70,3.51e-01,JUN
368,Signaling events mediated by VEGFR1 and VEGFR2,1/70,3.51e-01,VEGFA
369,Pancreatic cancer,1/70,3.51e-01,VEGFA
370,PPAR signaling pathway,1/69,3.51e-01,APOA2
371,Phase I of biological oxidations: functionalization of compounds,1/69,3.51e-01,PTGS2
372,NCAM signaling for neurite out-growth,1/70,3.51e-01,NCAM1
373,Adherens junction cell adhesion,1/74,3.62e-01,SNAI1
374,Gastric acid secretion,1/74,3.62e-01,KCNJ2
375,Prolactin activation of MAPK signaling,1/75,3.65e-01,JUN
376,Transcriptional regulation of white adipocyte differentiation,1/77,3.70e-01,LEP
377,G alpha (12/13) signaling events,1/77,3.70e-01,RHOB
378,Mitochondrial pathway of apoptosis: caspases,1/77,3.70e-01,HSPA1B
379,Phosphatidylinositol signaling system,1/78,3.72e-01,IMPA2
380,Apoptosis regulation,1/78,3.72e-01,IFNG
381,Unfolded protein response,1/79,3.75e-01,CXCL8
382,MAP kinase signaling pathway,1/81,3.81e-01,JUN
383,Platelet homeostasis,1/82,3.84e-01,MRVI1
384,Small cell lung cancer,1/84,3.90e-01,PTGS2
385,ECM-receptor interaction,1/84,3.90e-01,SPP1
386,TGF-beta regulation of skeletal system development,1/85,3.93e-01,IFNG
387,Developmental biology,3/420,3.95e-01,LEP; NCAM1; RHOB
388,Mitotic G2-G2/M phases,1/87,3.98e-01,TUBA1A
389,Gap junction pathway,1/90,4.08e-01,TUBA1A
390,Fc gamma receptor-mediated phagocytosis,1/94,4.20e-01,AMPH
391,L1CAM interactions,1/94,4.20e-01,NCAM1
392,"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds",1/96,4.26e-01,SLC22A4
393,Granule cell survival pathway,1/99,4.35e-01,JUN
394,TNF-alpha signaling pathway,1/101,4.40e-01,JUN
395,Interleukin-4 signaling pathway,1/104,4.49e-01,ALOX15
396,Neuronal system,2/283,4.57e-01,KCNH7; KCNJ2
397,G alpha i pathway,1/108,4.60e-01,HBEGF
398,Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha),1/112,4.72e-01,APOA2
399,mTOR signaling pathway,1/113,4.74e-01,VEGFA
400,Disease,4/674,4.76e-01,CXCL8; LEP; CTSG; LTF
401,Fas signaling pathway,1/115,4.77e-01,CXCL8
402,CXCR4 signaling pathway,1/116,4.78e-01,RHOB
403,Vascular smooth muscle contraction,1/116,4.78e-01,MRVI1
404,Leukocyte transendothelial migration,1/117,4.80e-01,VCAM1
405,Signaling by NOTCH,1/119,4.85e-01,JUN
406,Lysosome,1/121,4.89e-01,CTSG
407,Signaling by PDGF,1/122,4.91e-01,SPP1
408,Rho GTPase cycle,1/123,4.93e-01,RHOB
409,p75 neurotrophin receptor-mediated signaling,1/124,4.95e-01,RHOB
410,Integration of energy metabolism,1/125,4.96e-01,LEP
411,Neurotrophin signaling pathway,1/126,4.98e-01,JUN
412,Spliceosome,1/127,4.99e-01,HSPA1B
413,PDGFB signaling pathway,1/129,5.04e-01,JUN
414,Axon guidance,2/325,5.11e-01,NCAM1; RHOB
415,NGF signaling via TRKA from the plasma membrane,1/136,5.20e-01,DUSP4
416,Biological oxidations,1/139,5.27e-01,PTGS2
417,EGF/EGFR signaling pathway,1/141,5.31e-01,JUN
418,Phagosome,1/154,5.62e-01,TUBA1A
419,Myometrial relaxation and contraction pathways,1/155,5.64e-01,JUN
420,Generic transcription pathway,2/377,5.87e-01,ZNF331; SERPINE1
421,Protein processing in the endoplasmic reticulum,1/166,5.87e-01,HSPA1B
422,Alzheimer's disease,1/169,5.92e-01,APOE
423,"Fatty acid, triacylglycerol, and ketone body metabolism",1/173,5.99e-01,APOA2
424,Calcium signaling pathway,1/178,6.09e-01,PTAFR
425,Transmission across chemical synapses,1/190,6.32e-01,KCNJ2
426,G alpha (i) signaling events,1/199,6.48e-01,CXCL8
427,Antigen-activated B-cell receptor generation of second messengers,1/211,6.68e-01,JUN
428,Cell cycle,2/453,6.78e-01,TUBA1A; GADD45G
429,Signaling by NGF,1/221,6.83e-01,DUSP4
430,Lipid and lipoprotein metabolism,2/489,7.16e-01,APOA2; APOE
431,SLC-mediated transmembrane transport,1/251,7.26e-01,SLC22A4
432,Class A GPCRs (rhodopsin-like),1/253,7.28e-01,PTAFR
433,Metabolism,6/1615,8.33e-01,IMPA2; LEP; ALOX15; APOA2; APOE; ALOX15B
434,Transmembrane transport of small molecules,1/432,8.92e-01,SLC22A4
435,Protein metabolism,1/442,8.96e-01,TUBA1A
436,Gene expression,2/968,9.58e-01,ZNF331; SERPINE1
