,Term,Overlap,Adjusted P-value,Genes
302,Human cytomegalovirus and MAP kinase pathways,1/18,1.61e-01,MAPK14
303,Hypoxic and oxygen homeostasis regulation of HIF-1-alpha,1/19,1.65e-01,CDKN2A
304,G-protein-independent seven transmembrane receptor signaling,1/19,1.65e-01,MAPK14
305,Calcineurin in effects in keratinocyte differentiation,1/19,1.65e-01,CDKN1A
306,Lissencephaly gene (LIS1) in neuronal migration and development,1/19,1.65e-01,NDEL1
307,STAT3 pathway,1/19,1.65e-01,JAK3
308,Apoptosis modulation by HSP70,1/19,1.65e-01,HSPA1B
309,Antigen-activated B-cell receptor generation of second messengers,3/211,1.65e-01,JUN; MAPK14; PRKCZ
310,Signaling by NODAL,1/19,1.65e-01,FURIN
311,Signaling by ERBB2,2/102,1.68e-01,CDKN1A; HBEGF
312,GATA3-mediated activation of Th2 cytokine expression,1/20,1.71e-01,MAPK14
313,Interleukin-3 regulation of hematopoietic cells,1/20,1.71e-01,CXCL8
314,Nerve growth factor (NGF) pathway,1/20,1.71e-01,JUN
315,Interleukin-4 signaling pathway,2/104,1.71e-01,MAPK14; JAK3
316,Nicotine activity on dopaminergic neurons,1/21,1.76e-01,CHRNA3
317,Mitochondrial role in apoptotic signaling,1/21,1.76e-01,BIRC3
318,IGF1 signaling pathway,1/21,1.76e-01,JUN
319,Signaling by NGF,3/221,1.76e-01,CDKN1A; FURIN; MAPK14
320,Y branching of actin filaments,1/21,1.76e-01,WASF1
321,p38 MK2 pathway,1/21,1.76e-01,MAPK14
322,Epstein-Barr virus LMP1 signaling,1/22,1.83e-01,CXCL8
323,Leptin influence on immune response,2/110,1.83e-01,CX3CR1; IFNG
324,Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family,1/23,1.86e-01,MAPK14
325,Modulation of interferon signaling by chaperones,1/23,1.86e-01,IFNG
326,Interleukin-11 pathway,1/23,1.86e-01,JUN
327,RNA polymerase III transcription termination,1/23,1.86e-01,POLR1D
328,Th1/Th2 differentiation pathway,1/23,1.86e-01,IFNG
329,CREB transcription factor and its extracellular signals,1/23,1.86e-01,MAPK14
330,Eicosanoid metabolism,1/23,1.86e-01,EPHX2
331,Inhibition of cellular proliferation by Gleevec,1/24,1.93e-01,JUN
332,CXCR4 signaling pathway,2/116,1.95e-01,RHOC; PRKCZ
333,G0 and early G1 pathway,1/25,1.95e-01,MYBL2
334,TPO signaling pathway,1/25,1.95e-01,JUN
335,Corticotropin releasing hormone pathway,1/25,1.95e-01,CXCL8
336,C-Myc pathway,1/25,1.95e-01,CDKN2A
337,Ghrelin pathway,1/25,1.95e-01,CXCL8
338,RNA polymerase I transcription initiation,1/25,1.95e-01,POLR1D
339,Alpha-9 beta-1 integrin pathway,1/25,1.95e-01,TGM2
340,Phosphoinositides and their downstream targets,1/25,1.95e-01,PRKCZ
341,SHC1 events in ERBB2 signaling,1/25,1.95e-01,HBEGF
342,Signaling by NOTCH,2/119,1.97e-01,JUN; FURIN
343,Disease,6/674,2.00e-01,LDHB; CDKN1A; CXCL8; IGFBP3; RPL22; MFGE8
344,Interleukin-27-mediated signaling events,1/26,2.00e-01,IFNG
345,Interleukin-9 regulation of target genes,1/26,2.00e-01,CCL3
346,Oxidative stress,1/27,2.03e-01,MAPK14
347,Insulin regulation of blood glucose,1/27,2.03e-01,PRKCZ
348,FSH signaling pathway,1/27,2.03e-01,MAPK14
349,Rho GTPase cycle,2/123,2.03e-01,ARAP2; RHOC
350,Cell cycle: G2/M checkpoint,1/27,2.03e-01,CDKN1A
351,RNA polymerase III transcription initiation from type 2 promoter,1/27,2.03e-01,POLR1D
352,eIF4E and p70 S6 kinase regulation,1/27,2.03e-01,MAPK14
353,PERK-regulated gene expression,1/28,2.06e-01,CXCL8
354,Neurotrophin signaling pathway,2/126,2.06e-01,JUN; MAPK14
355,Interleukin receptor SHC signaling,1/28,2.06e-01,JAK3
356,SLC-mediated transmembrane transport,3/251,2.06e-01,SLC22A4; SLC2A1; SLC16A10
357,RNA polymerase III transcription initiation From type 3 promoter,1/28,2.06e-01,POLR1D
358,TGF-beta receptor activation of SMADs,1/28,2.06e-01,FURIN
359,"PTM: gamma carboxylation, hypusine formation and arylsulfatase activation",1/28,2.06e-01,FURIN
360,Integrin beta-2 pathway,1/29,2.08e-01,PLAU
361,Influence of Ras and Rho proteins on G1 to S transition,1/29,2.08e-01,CDKN1A
362,IGF1 pathway,1/29,2.08e-01,PRKCZ
363,Skeletal myogenesis control by HDAC and calcium/calmodulin-dependent kinase (CaMK),1/29,2.08e-01,MAPK14
364,ADP-ribosylation factor,1/29,2.08e-01,ARAP2
365,Sema4D in semaphorin signaling,1/29,2.08e-01,RHOC
366,RNA polymerase,1/29,2.08e-01,POLR1D
367,CDO in myogenesis,1/29,2.08e-01,MAPK14
368,Cell-cell communication,2/129,2.08e-01,SIRPG; MAPK14
369,PDGFB signaling pathway,2/129,2.08e-01,JUN; PPP2R2B
370,Ovarian infertility genes,1/30,2.08e-01,EGR1
371,MicroRNAs in muscle cell differentiation,1/30,2.08e-01,PRKCZ
372,Interleukin-2/STAT5 pathway,1/30,2.08e-01,JAK3
373,Interferon-beta enhancer pathway,1/30,2.08e-01,JUN
374,PDGFA signaling pathway,1/30,2.08e-01,JUN
375,Signaling pathway from G-protein families,1/30,2.08e-01,JUN
376,Retinoic acid receptor-mediated signaling,1/30,2.08e-01,MAPK14
377,Activation of matrix metalloproteinases,1/30,2.08e-01,FURIN
378,p38-alpha and p38-beta regulation,1/30,2.08e-01,MAPK14
379,Signal amplification,1/31,2.12e-01,MAPK14
380,Amino acid transport across the plasma membrane,1/31,2.12e-01,SLC16A10
381,Ras family activation regulation,1/31,2.12e-01,PRKCZ
382,Tight junction,2/133,2.12e-01,PPP2R2B; PRKCZ
383,Adipogenesis,2/133,2.12e-01,CDKN1A; SERPINE1
384,Alpha-6 beta-4 integrin signaling pathway,1/31,2.12e-01,MAPK14
385,NGF signaling via TRKA from the plasma membrane,2/136,2.16e-01,CDKN1A; MAPK14
386,Serotonin HTR1 group and FOS pathway,1/32,2.16e-01,MAPK14
387,Syndecan 4 pathway,1/32,2.16e-01,THBS1
388,"Glycine, serine and threonine metabolism",1/32,2.16e-01,PHGDH
389,Adrenergic pathway,2/137,2.17e-01,MAPK14; PRKCZ
390,Diabetes pathways,2/137,2.17e-01,CXCL8; IGFBP3
391,Negative regulators of RIG-I/MDA5 signaling,1/33,2.18e-01,UBE2L6
392,Glycoprotein VI-mediated activation cascade,1/33,2.18e-01,PRKCZ
393,Syndecan 2 pathway,1/33,2.18e-01,CXCL8
394,Propanoate metabolism,1/33,2.18e-01,LDHB
395,Systemic lupus erythematosus,2/139,2.19e-01,IFNG; FCGR1A
396,Monoamine transport,1/34,2.21e-01,MAPK14
397,Induction of apoptosis through DR3 and DR4/5 death receptors,1/34,2.21e-01,BIRC3
398,EPO receptor signaling,1/34,2.21e-01,JUN
399,Cysteine and methionine metabolism,1/34,2.21e-01,LDHB
400,TOR signaling,1/34,2.21e-01,PRR5L
401,EGF receptor transactivation by GPCRs in cardiac hypertrophy,1/34,2.21e-01,JUN
402,Primary immunodeficiency,1/35,2.23e-01,JAK3
403,Prion diseases,1/35,2.23e-01,EGR1
404,Arf6 signal transduction regulation,1/35,2.23e-01,ARAP2
405,fMLP induced chemokine gene expression in HMC-1 cells,1/35,2.23e-01,MAPK14
406,Interleukin-7 signaling pathway,1/35,2.23e-01,JAK3
407,PIK3C1/AKT pathway,1/35,2.23e-01,CDKN1A
408,Glycogen metabolism,1/36,2.27e-01,PPP2R2B
409,PI3K/PLC/TRK pathway,1/36,2.27e-01,EGR1
410,Signaling to ERKs,1/36,2.27e-01,MAPK14
411,PI3K/AKT activation,1/37,2.31e-01,CDKN1A
412,ALK in cardiac myocytes,1/37,2.31e-01,TGFBR3
413,Allograft rejection,1/37,2.31e-01,IFNG
414,BMAL1-CLOCK/NPAS2 activates circadian expression,1/38,2.35e-01,SERPINE1
415,Signaling of hepatocyte growth factor receptor,1/38,2.35e-01,JUN
416,ERBB4 signaling events,1/38,2.35e-01,HBEGF
417,GAB1 signalosome,1/39,2.39e-01,CDKN1A
418,FAS pathway and stress induction of heat shock protein regulation,1/39,2.39e-01,JUN
419,Signaling events regulated by Ret tyrosine kinase,1/39,2.39e-01,JUN
420,Phagosome,2/154,2.42e-01,FCGR1A; THBS1
421,Pyruvate metabolism and citric acid (TCA) cycle,1/40,2.42e-01,LDHB
422,Nuclear signaling by ErbB4,1/40,2.42e-01,HBEGF
423,PAC1 receptor pathway,1/40,2.42e-01,PRKCZ
424,Plasma membrane estrogen receptor signaling,1/41,2.46e-01,HBEGF
425,Bioactive peptide-induced signaling pathway,1/41,2.46e-01,MAPK14
426,Fc epsilon receptor I signaling in mast cells,1/41,2.46e-01,JUN
427,Hexose transport,1/42,2.50e-01,SLC2A1
428,Signaling events mediated by T cell protein tyrosine phosphatase (TC-PTP),1/42,2.50e-01,JAK3
429,Eukaryotic transcription initiation,1/42,2.50e-01,POLR1D
430,Type 1 diabetes mellitus,1/43,2.53e-01,IFNG
431,Voltage-gated potassium channels,1/43,2.53e-01,KCNH7
432,Mitotic prometaphase,1/43,2.53e-01,NDEL1
433,PI3K class IB pathway in neutrophils,1/43,2.53e-01,PRKCZ
434,ERBB2/ERBB3 signaling events,1/44,2.57e-01,JUN
435,HNF3A pathway,1/44,2.57e-01,JUN
436,RNA polymerase III transcription,1/45,2.60e-01,POLR1D
437,Integrin-linked kinase signaling,1/45,2.60e-01,JUN
438,"Interleukin-3, interleukin-5, and GM-CSF signaling",1/45,2.60e-01,JAK3
439,Alzheimer's disease,2/169,2.66e-01,MME; APOE
440,Agrin in postsynaptic differentiation,1/47,2.69e-01,JUN
441,Presenilin action in Notch and Wnt signaling,1/48,2.73e-01,JUN
442,Energy metabolism,1/48,2.73e-01,MAPK14
443,Interleukin-5 signaling pathway,1/49,2.77e-01,JUN
444,Amino acid and oligopeptide SLC transporters,1/49,2.77e-01,SLC16A10
445,Type 2 diabetes mellitus,1/50,2.81e-01,PRKCZ
446,Amyloids,1/51,2.85e-01,MFGE8
447,Metabolism of vitamins and cofactors,1/51,2.85e-01,SLC2A1
448,Lipid and lipoprotein metabolism,4/489,2.88e-01,APOE; ANGPTL4; LDLRAP1; LDLR
449,Pyruvate metabolism,1/52,2.88e-01,LDHB
450,Interleukin-2 receptor beta chain in T cell activation,1/52,2.88e-01,JAK3
451,JNK/MAPK pathway,1/53,2.91e-01,JUN
452,Amyotrophic lateral sclerosis (ALS),1/53,2.91e-01,MAPK14
453,Arginine and proline metabolism,1/54,2.94e-01,AGMAT
454,Kit receptor signaling pathway,1/54,2.94e-01,MAPK14
455,Non-small cell lung cancer,1/54,2.94e-01,CDKN2A
456,RNA polymerase I transcription,1/55,2.98e-01,POLR1D
457,Acute myeloid leukemia,1/57,3.05e-01,FLT3
458,Mechanism of gene regulation by peroxisome proliferators via PPAR-alpha,1/57,3.05e-01,JUN
459,Pathogenic Escherichia coli infection,1/57,3.05e-01,TLR5
460,PI3K cascade,1/57,3.05e-01,CDKN1A
461,HIV-1 Nef as negative effector of Fas and TNF,1/58,3.08e-01,BIRC3
462,Arachidonic acid metabolism,1/58,3.08e-01,EPHX2
463,Amino acid metabolism,2/195,3.11e-01,PHGDH; AGMAT
464,Caspase cascade in apoptosis,1/59,3.12e-01,BIRC3
465,Natural killer cell receptor signaling pathway,1/60,3.15e-01,MAPK14
466,Neurotrophic factor-mediated Trk receptor signaling,1/60,3.15e-01,PRKCZ
467,Androgen receptor proteolysis and transcription regulation,1/61,3.18e-01,CDKN2A
468,Leptin signaling pathway,1/61,3.18e-01,MAPK14
469,Signaling events mediated by focal adhesion kinase,1/62,3.20e-01,JUN
470,Circadian rhythm,1/62,3.20e-01,SERPINE1
471,Colorectal cancer,1/62,3.20e-01,JUN
472,Proteasome degradation,1/63,3.24e-01,IFNG
473,Validated nuclear estrogen receptor alpha network,1/64,3.26e-01,JUN
474,Interferon alpha/beta signaling,1/64,3.26e-01,EGR1
475,MAPK cascade role in angiogenesis,1/64,3.26e-01,MAPK14
476,DNA replication,2/207,3.28e-01,CDKN1A; NDEL1
477,Endochondral ossification,1/66,3.32e-01,PLAU
478,Semaphorin interactions,1/66,3.32e-01,RHOC
479,Destabilization of mRNA by AUF1 (hnRNP D0),1/66,3.32e-01,FCGR1A
480,Adipocytokine signaling pathway,1/67,3.34e-01,SLC2A1
481,SIDS susceptibility pathways,1/67,3.34e-01,CXCL8
482,G alpha 13 pathway,1/67,3.34e-01,PRKCZ
483,AMPK signaling,1/68,3.38e-01,CDKN1A
484,PPAR signaling pathway,1/69,3.41e-01,ANGPTL4
485,Pancreatic cancer,1/70,3.43e-01,CDKN2A
486,Signaling events mediated by VEGFR1 and VEGFR2,1/70,3.43e-01,MAPK14
487,G alpha q pathway,1/70,3.43e-01,PRKCZ
488,MicroRNA regulation of DNA damage response,1/70,3.43e-01,CDKN1A
489,Bacterial invasion of epithelial cells,1/71,3.46e-01,WASF1
490,Cyclin A-Cdk2-associated events at S phase entry,1/72,3.49e-01,CDKN1A
491,Myocyte adrenergic pathway,1/72,3.49e-01,MAPK14
492,Cap-dependent translation initiation,1/73,3.52e-01,RPL22
493,Wnt/calcium/cyclic GMP pathway,1/74,3.54e-01,PRKCZ
494,Integrins in angiogenesis,1/74,3.54e-01,MFGE8
495,Adherens junction cell adhesion,1/74,3.54e-01,WASF1
496,VEGF signaling pathway,1/76,3.60e-01,MAPK14
497,RIG-I/MDA5-mediated induction of interferon-alpha/beta pathways,1/76,3.60e-01,UBE2L6
498,Transcriptional regulation of white adipocyte differentiation,1/77,3.62e-01,ANGPTL4
499,G alpha (12/13) signaling events,1/77,3.62e-01,RHOC
500,Peroxisome,1/78,3.65e-01,EPHX2
501,Signaling by SCF-KIT,1/78,3.65e-01,CDKN1A
502,Antigen processing: cross presentation,1/79,3.66e-01,FCGR1A
503,Unfolded protein response,1/79,3.66e-01,CXCL8
504,Fc epsilon receptor I signaling pathway,1/79,3.66e-01,MAPK14
505,GPCR ligand binding,3/410,3.76e-01,CX3CR1; CXCL8; CCL3
506,Platelet homeostasis,1/82,3.76e-01,MAPK14
507,ECM-receptor interaction,1/84,3.83e-01,THBS1
508,Integrin cell surface interactions,1/85,3.84e-01,THBS1
509,MicroRNAs in cardiomyocyte hypertrophy,1/85,3.84e-01,MAPK14
510,Myc active pathway,1/85,3.84e-01,SLC2A1
511,mRNA stability regulation by proteins that bind AU-rich elements,1/86,3.86e-01,MAPK14
512,"Non-class A, B, C GPCRs",1/86,3.86e-01,CELSR2
513,Progesterone-mediated oocyte maturation,1/86,3.86e-01,MAPK14
514,DNA replication pre-Initiation,1/88,3.92e-01,CDKN1A
515,Prostate cancer,1/89,3.95e-01,CDKN1A
516,"Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins",2/255,3.99e-01,UBE2L6; FCGR1A
517,Transmembrane transport of small molecules,3/432,4.00e-01,SLC22A4; SLC2A1; SLC16A10
518,Extracellular matrix organization,1/93,4.06e-01,FURIN
519,Cell surface interactions at the vascular wall,1/94,4.09e-01,SIRPG
520,Transport of inorganic cations/anions and amino acids/oligopeptides,1/95,4.10e-01,SLC16A10
521,"RNA polymerase I, RNA polymerase III, and mitochondrial transcription",1/95,4.10e-01,POLR1D
522,G-protein signaling pathways,1/95,4.10e-01,PRKCZ
523,M phase pathway,1/96,4.13e-01,NDEL1
524,Downstream signaling events Of B cell receptor (BCR),1/98,4.19e-01,CDKN1A
525,Potassium channels,1/99,4.20e-01,KCNH7
526,Granule cell survival pathway,1/99,4.20e-01,JUN
527,Neuronal system,2/283,4.44e-01,CHRNA3; KCNH7
528,Cytoplasmic ribosomal proteins,1/108,4.47e-01,RPL22
529,Signaling by interleukins,1/109,4.50e-01,JAK3
530,Signaling by EGFR in cancer,1/111,4.55e-01,CDKN1A
531,S phase,1/112,4.56e-01,CDKN1A
532,Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha),1/112,4.56e-01,ANGPTL4
533,Cell cycle checkpoints,1/117,4.69e-01,CDKN1A
534,Tricarboxylic acid (TCA) cycle and respiratory electron transport,1/117,4.69e-01,LDHB
535,Leukocyte transendothelial migration,1/117,4.69e-01,MAPK14
536,G alpha s pathway,1/120,4.77e-01,MAPK14
537,Influenza viral RNA transcription and replication,1/125,4.89e-01,RPL22
538,Integration of energy metabolism,1/125,4.89e-01,SLC2A1
539,Spliceosome,1/127,4.94e-01,HSPA1B
540,Signaling by FGFR in disease,1/128,4.96e-01,CDKN1A
541,Parkinson's disease,1/131,5.03e-01,UBE2L6
542,Influenza infection,1/142,5.31e-01,RPL22
543,Calcium regulation in the cardiac cell,1/149,5.48e-01,PRKCZ
544,Signaling by the B cell receptor (BCR),1/151,5.51e-01,CDKN1A
545,Translation,1/151,5.51e-01,RPL22
546,Gene expression,5/968,5.52e-01,CDKN2B; SERPINE1; RPL22; POLR1D; MAPK14
547,Integrated breast cancer pathway,1/152,5.52e-01,JUN
548,Signaling by GPCR,5/977,5.59e-01,CX3CR1; CXCL8; CCL3; RHOC; HBEGF
549,Generic transcription pathway,2/377,5.80e-01,CDKN2B; SERPINE1
550,Protein processing in the endoplasmic reticulum,1/166,5.81e-01,HSPA1B
551,"Fatty acid, triacylglycerol, and ketone body metabolism",1/173,5.95e-01,ANGPTL4
552,Metapathway biotransformation,1/174,5.96e-01,EPHX2
553,Transcription,1/181,6.10e-01,POLR1D
554,Huntington's disease,1/184,6.15e-01,TGM2
555,Transmission across chemical synapses,1/190,6.26e-01,CHRNA3
556,Post-translational protein modification,1/196,6.36e-01,FURIN
557,G alpha (i) signaling events,1/199,6.41e-01,CXCL8
558,Messenger RNA processing,1/203,6.47e-01,CLK1
559,Gastrin-CREB signaling pathway via PKC and MAPK,1/206,6.52e-01,HBEGF
560,Protein metabolism,2/442,6.57e-01,RPL22; FURIN
561,Actin cytoskeleton regulation,1/226,6.84e-01,WASF1
562,Carbohydrate metabolism,1/235,6.97e-01,SLC2A1
563,Class A GPCRs (rhodopsin-like),1/253,7.22e-01,CX3CR1
564,Neuroactive ligand-receptor interaction,1/272,7.47e-01,CHRNA3
